wall_time_iso,anchor_id,session,distance_cm,true_distance_m,sample_n,t_ms,d_mm,rx_power_dbm,fp_power_dbm,quality,antenna_delay,transport,packets_received,packets_accepted,packets_discarded
2026-06-19T12:37:48.835,2,1,5,0.05,1,440233,258,-68.0,,,16385,udp:4100,1,1,0
2026-06-19T12:37:48.903,2,1,5,0.05,2,440281,338,-69.0,,,16385,udp:4100,2,2,0
2026-06-19T12:37:48.918,2,1,5,0.05,3,440330,314,-68.0,,,16385,udp:4100,3,3,0
2026-06-19T12:37:48.994,2,1,5,0.05,4,440379,310,-68.0,,,16385,udp:4100,4,4,0
2026-06-19T12:37:49.023,2,1,5,0.05,5,440427,296,-69.0,,,16385,udp:4100,5,5,0
2026-06-19T12:37:49.074,2,1,5,0.05,6,440476,338,-68.0,,,16385,udp:4100,6,6,0
2026-06-19T12:37:49.211,2,1,5,0.05,7,440525,286,-68.0,,,16385,udp:4100,7,7,0
2026-06-19T12:37:49.211,2,1,5,0.05,8,440573,277,-68.0,,,16385,udp:4100,8,8,0
2026-06-19T12:37:49.212,2,1,5,0.05,9,440622,300,-68.0,,,16385,udp:4100,9,9,0
2026-06-19T12:37:49.265,2,1,5,0.05,10,440671,314,-69.0,,,16385,udp:4100,10,10,0
2026-06-19T12:37:49.333,2,1,5,0.05,11,440734,216,-69.0,,,16385,udp:4100,11,11,0
2026-06-19T12:37:49.417,2,1,5,0.05,12,440782,347,-68.0,,,16385,udp:4100,12,12,0
2026-06-19T12:37:49.417,2,1,5,0.05,13,440831,272,-68.0,,,16385,udp:4100,13,13,0
2026-06-19T12:37:49.517,2,1,5,0.05,14,440928,333,-68.0,,,16385,udp:4100,14,14,0
2026-06-19T12:37:49.634,2,1,5,0.05,15,441026,291,-68.0,,,16385,udp:4100,15,15,0
2026-06-19T12:37:49.683,2,1,5,0.05,16,441075,296,-69.0,,,16385,udp:4100,16,16,0
2026-06-19T12:37:49.712,2,1,5,0.05,17,441123,267,-69.0,,,16385,udp:4100,17,17,0
2026-06-19T12:37:49.753,2,1,5,0.05,18,441172,286,-68.0,,,16385,udp:4100,18,18,0
2026-06-19T12:37:49.945,2,1,5,0.05,19,441290,328,-68.0,,,16385,udp:4100,19,19,0
2026-06-19T12:37:49.994,2,1,5,0.05,20,441407,324,-69.0,,,16385,udp:4100,20,20,0
2026-06-19T12:37:50.118,2,1,5,0.05,21,441524,300,-68.0,,,16385,udp:4100,21,21,0
2026-06-19T12:37:50.190,2,1,5,0.05,22,441572,347,-69.0,,,16385,udp:4100,22,22,0
2026-06-19T12:37:50.203,2,1,5,0.05,23,441621,333,-68.0,,,16385,udp:4100,23,23,0
2026-06-19T12:37:50.263,2,1,5,0.05,24,441670,300,-69.0,,,16385,udp:4100,24,24,0
2026-06-19T12:37:50.316,2,1,5,0.05,25,441736,206,-69.0,,,16385,udp:4100,25,25,0
